Time,Heart Rate
19:43:04,87
19:43:09,83
19:43:14,81
19:43:19,79
19:43:24,76
19:43:29,77
19:43:34,76
19:43:39,76
19:43:54,76
19:43:59,83
19:44:04,83
19:44:09,79
19:44:14,78
19:44:19,80
19:44:24,79
19:44:29,82
19:44:34,84
19:44:39,84
19:44:44,83
19:44:49,80
19:44:54,78
19:44:59,80
19:45:05,82
19:45:10,82
19:45:25,82
19:45:30,83
19:45:35,87
19:45:40,90
19:45:45,84
19:45:50,80
19:46:00,82
19:46:05,83
19:46:10,82
19:46:15,81
19:46:30,82
19:46:35,83
19:46:40,81
19:46:45,80
19:46:50,78
19:46:55,79
19:47:00,81
19:47:05,82
19:47:15,80
19:47:20,79
19:47:25,82
19:47:30,83
19:47:35,83
19:47:40,81
19:47:50,82
19:47:55,82
19:48:00,85
19:48:05,87
19:48:10,87
19:48:15,87
19:48:25,86
19:48:35,85
19:48:40,84
19:48:45,83
19:48:50,82
19:48:55,83
19:49:00,84
19:49:10,83
19:49:25,83
19:49:35,88
19:49:40,92
19:49:45,94
19:50:00,93
19:50:10,92
19:50:15,90
19:50:25,89
19:50:30,89
19:50:35,91
19:50:40,92
19:50:45,90
19:50:55,91
19:51:05,90
19:51:10,87
19:51:15,86
19:51:25,87
19:51:30,88
19:51:35,86
19:51:45,85
19:52:00,84
19:52:05,85
19:52:10,83
19:52:20,84
19:52:30,85
19:52:35,86
19:52:40,87
19:52:45,88
19:52:50,93
19:52:55,91
19:53:00,90
19:53:10,89
19:53:15,88
19:53:30,88
19:53:45,87
19:54:00,87
19:54:05,98
19:54:10,99
19:54:15,97
19:54:25,95
19:54:30,92
19:54:35,94
19:54:40,93
19:54:45,88
19:54:50,85
19:54:55,86
19:55:00,87
19:55:15,87
19:55:25,90
19:55:30,92
19:55:35,90
19:55:40,89
19:55:45,89
19:55:50,91
19:55:55,87
19:56:00,89
19:56:05,90
19:56:10,88
19:56:15,87
19:56:25,88
19:56:40,89
19:56:55,86
19:57:00,83
19:57:05,83
19:57:10,84
19:57:15,83
19:57:30,83
19:57:35,83
19:57:40,86
19:57:55,84
19:58:00,82
19:58:15,82
19:58:25,81
19:58:40,81
19:58:45,82
19:58:50,84
19:58:55,87
19:59:00,89
19:59:05,90
19:59:10,89
19:59:15,89
19:59:30,89
19:59:45,89
19:59:50,89
