time	ax	ay	az	atotal
0.017509937	0.01	0.17	-0.02	0.17
0.019762993	-0.05	0.28	0.11	0.3
0.025769711	-0.04	0.05	0.08	0.1
0.040544987	-0.04	-0.09	0.12	0.15
0.045608997	-0.01	-0.16	0.23	0.28
0.056295872	0.03	-0.12	0.21	0.24
0.066243887	-0.01	-0.01	0.13	0.13
0.076278687	-0.01	0.04	0.06	0.07
0.086469889	0.01	0.01	-0.07	0.07
0.096428871	0.04	-0.01	-0.27	0.27
0.114607811	0.05	0.02	-0.29	0.29
0.116868019	-0.02	0.19	-0.13	0.23
0.125429869	0.07	0.07	-0.03	0.1
0.134996891	0.13	-0.14	-0.15	0.24
0.145627975	0.02	-0.13	-0.27	0.3
0.155385017	0.02	-0.02	-0.04	0.04
0.165909767	-0.05	0.03	0.2	0.2
0.176461697	-0.21	-0.04	0.23	0.31
0.186003685	-0.18	-0.1	0.03	0.2
0.195820808	-0.03	-0.11	-0.05	0.12
0.215450764	-0.02	0.02	-0.07	0.07
0.217786789	-0.06	0.11	-0.17	0.21
0.224324703	0.05	0.04	-0.26	0.26
0.234583855	0.06	-0.04	-0.24	0.25
0.244654894	-0.17	0.05	-0.24	0.29
0.254981995	-0.16	0.16	-0.13	0.26
0.265088797	0.13	0.09	-0.07	0.17
0.275096893	0.28	-0.02	-0.03	0.28
0.285566807	0.16	-0.01	0.03	0.16
0.295519829	-0.06	0.02	-0.05	0.08
0.314800739	-0.13	-0.19	-0.23	0.32
0.317091942	-0.11	-0.41	-0.36	0.55
0.323818684	-0.27	0.35	0.04	0.44
0.333840847	-0.2	0.6	0.52	0.81
0.343976974	-0.1	0.24	0.59	0.64
0.353890896	-0.04	-0.12	0.58	0.59
0.364225864	-0.08	-0.3	0.17	0.35
0.374116898	0.03	-0.31	-0.55	0.63
0.384438992	0.18	-0.04	-0.8	0.82
0.393949986	0.24	0.16	-0.58	0.64
0.419773817	0.1	0.26	-0.15	0.31
0.422112942	-0.11	0.23	0.12	0.28
0.423985004	-0.06	0.13	0.22	0.26
0.43935585	0.04	0.02	0.12	0.12
0.442783833	0.13	-0.07	0.13	0.19
0.456215858	-0.03	-0.07	0.98	0.98
0.463322878	-0.27	0.03	0.34	0.43
0.472923756	-0.23	-0.1	0.09	0.26
0.483382702	-0.1	-0.1	0.1	0.17
0.493399858	0.05	-0.16	0.02	0.16
0.518777847	0.2	-0.16	0.05	0.26
0.520897865	0.17	-0.02	0.11	0.2
0.522783756	-0.06	0.12	0.05	0.14
0.54172802	-0.17	0.18	-0.12	0.27
0.544653893	-0.06	0.14	-0.32	0.35
0.555408001	0.01	0.18	-0.28	0.33
0.562322855	-0.04	0.29	-0.09	0.3
0.572595835	-0.03	0.19	-0.06	0.2
0.582664967	0.11	-0.02	-0.24	0.26
0.592777729	0.22	-0.05	-0.39	0.45
0.619179726	0.23	0	-0.31	0.38
0.621347904	0.16	-0.04	-0.07	0.17
0.623239994	0.09	-0.09	0.06	0.14
0.640757799	0.12	-0.07	0.1	0.17
0.643013954	0.24	-0.11	-0.18	0.31
0.655251026	0.27	-0.09	-0.58	0.64
0.661602974	0.17	-0.03	-0.66	0.68
0.672002792	-0.01	0.07	-0.31	0.31
0.681740761	-0.15	0.07	0.06	0.17
0.692039967	-0.02	-0.04	0.22	0.22
0.720778942	0.22	-0.21	0.08	0.31
0.723011971	0.23	-0.19	-0.18	0.34
0.724872828	0.06	-0.03	-0.27	0.27
0.741199017	0.12	0.07	-0.34	0.36
0.744094849	0	0.13	-0.24	0.27
0.75643301	-0.13	0.15	-0.02	0.19
0.761035919	-0.19	0.14	0.14	0.27
0.771019936	-0.13	0.04	0.07	0.15
0.78151083	-0.04	-0.01	-0.2	0.2
0.791197777	0.04	0.02	-0.45	0.45
0.801930904	-0.05	0.05	-0.65	0.65
0.821537018	-0.1	0.1	-0.75	0.76
0.823629856	-0.04	0.06	-0.93	0.93
0.829631805	0	0.01	-0.93	0.93
0.839898825	0.08	-0.1	-0.85	0.85
0.850067854	0.17	-0.24	-0.68	0.74
0.860085011	0.07	-0.24	-0.68	0.72
0.870738029	-0.22	-0.14	-0.61	0.66
0.880699873	-0.16	-0.06	-0.53	0.55
0.8907938	-0.19	-0.07	-0.48	0.52
0.90066576	-0.27	0.04	-0.34	0.43
0.921780825	-0.26	0.05	-0.17	0.31
0.923874855	-0.17	-0.01	-0.25	0.3
0.929177761	-0.11	-0.07	-0.52	0.53
0.940886021	-0.15	-0.05	-0.85	0.86
0.949695826	-0.23	-0.14	-1.26	1.28
0.959397793	-0.32	0.13	-1.17	1.21
0.969738007	-0.39	0.24	-1.17	1.25
0.979829788	-0.45	-0.03	-1.48	1.54
0.990028858	-0.35	-0.19	-1.62	1.66
0.999646902	-0.41	-0.2	-1.62	1.68
1.019013882	-0.36	-0.18	-1.57	1.62
1.021063805	-0.29	-0.07	-1.24	1.27
1.028417826	-0.18	-0.08	-0.88	0.9
1.040689945	-0.14	-0.24	-0.82	0.86
1.048556805	0.02	-0.58	-0.96	1.12
1.059005737	0.08	-0.46	-0.26	0.53
1.069227695	-0.04	-0.2	0.37	0.42
1.079012871	-0.04	-0.35	0.24	0.42
1.089115858	0.09	-0.37	0.19	0.42
1.099340916	0.18	-0.34	0.04	0.38
1.122440815	0.11	-0.32	0.17	0.37
1.124662876	0.04	-0.21	0.6	0.63
1.127625942	-0.03	-0.12	1.12	1.12
1.14110899	0.05	-0.15	1.44	1.44
1.147782803	0.15	-0.19	1.4	1.42
1.158466816	0.13	-0.15	1.45	1.46
1.168345928	0.16	-0.15	1.17	1.19
1.178452015	0.28	-0.16	0.6	0.68
1.188345909	0.27	0.05	0.11	0.29
1.198282719	0.22	0.23	-0.1	0.33
1.225783825	0.12	0.19	-0.22	0.31
1.227797031	0.09	0.13	-0.46	0.48
1.229763031	0.13	0.17	-0.68	0.71
1.240651846	0.02	0.34	-0.66	0.74
1.246784687	-0.07	0.39	-0.75	0.84
1.257157803	0.1	0.29	-0.89	0.94
1.266968727	0.29	0.05	-1.04	1.08
1.277600765	0.49	-0.16	-1.07	1.18
1.287961006	0.48	-0.22	-0.95	1.08
1.297509909	0.4	-0.15	-0.8	0.9
1.324745893	0.53	-0.17	-0.9	1.05
1.327111721	0.61	-0.32	-1.29	1.46
1.329010963	0.56	-0.42	-1.77	1.9
1.340359688	0.19	-0.29	-2.21	2.23
