Time,Heart Rate
20:51:09,78
20:51:14,79
20:51:29,79
20:51:44,78
20:51:54,78
20:51:59,78
20:52:04,78
20:52:19,78
20:52:24,79
20:52:34,77
20:54:05,70
20:54:20,69
20:54:25,66
20:54:30,62
20:54:45,62
20:54:50,62
20:54:55,64
20:55:00,67
20:55:05,70
20:55:10,71
20:55:25,71
20:55:30,72
20:55:45,73
20:55:50,74
20:55:55,76
20:56:00,77
20:56:05,78
20:56:10,79
20:56:15,80
20:56:20,81
20:56:30,81
20:56:35,85
20:56:40,87
20:56:45,85
20:56:50,84
20:56:55,86
20:57:00,86
20:57:05,86
20:57:10,83
20:57:15,82
20:57:30,82
20:57:45,83
20:57:50,82
20:58:05,80
20:58:10,76
20:58:15,75
20:58:20,75
20:58:35,76
20:58:50,76
20:58:55,77
20:59:05,78
20:59:10,78
20:59:25,79
20:59:30,80
20:59:40,79
20:59:50,78
21:00:00,76
21:00:10,78
21:01:53,70
21:02:03,70
21:02:08,74
21:02:13,77
21:02:23,76
21:02:33,78
21:02:38,81
21:02:43,78
21:02:58,78
21:03:08,78
21:03:23,78
21:03:33,78
21:03:43,81
21:03:48,82
21:03:53,83
21:04:08,83
21:04:13,84
21:04:18,86
21:04:23,86
21:04:38,87
21:04:53,88
21:04:58,89
21:05:03,91
21:05:18,91
21:05:23,90
21:05:33,91
21:05:38,91
21:05:43,91
21:05:48,92
21:05:58,91
21:06:14,91
21:06:29,91
21:06:44,91
21:06:49,90
21:06:54,89
21:07:09,89
21:07:14,88
21:07:19,86
21:07:29,85
21:07:39,84
21:07:54,83
21:07:59,84
21:08:14,83
21:08:19,84
21:08:24,85
21:08:29,83
21:08:34,82
21:08:44,81
21:08:49,80
21:09:04,80
21:09:19,80
21:09:24,79
21:09:34,80
21:09:39,81
21:09:49,82
21:09:54,83
21:09:59,84
21:10:04,86
21:10:09,89
21:10:14,92
21:10:19,94
21:10:34,94
21:10:39,92
21:10:44,86
21:10:49,82
21:10:54,83
21:11:09,83
21:11:24,84
21:11:29,83
21:11:34,83
21:11:49,80
21:11:54,77
21:11:59,78
21:12:04,79
21:12:14,80
21:12:29,80
21:12:44,80
21:12:59,79
21:13:09,79
21:13:14,78
21:13:19,76
21:13:34,77
21:13:39,76
21:13:49,78
21:13:54,79
21:13:59,78
21:14:04,80
21:14:09,79
21:14:24,78
21:14:39,79
21:14:44,81
21:14:49,81
21:14:54,82
21:15:09,82
21:15:19,81
21:15:24,82
21:15:39,81
21:15:49,81
21:15:54,77
21:15:59,74
21:16:14,75
21:16:29,75
21:16:34,77
21:16:44,78
21:16:49,76
21:16:54,76
21:16:59,77
21:17:04,79
21:17:09,81
21:17:14,83
21:17:19,82
21:17:24,78
21:17:34,77
21:17:49,77
21:17:54,77
21:18:04,76
21:18:19,75
21:18:34,75
21:18:49,75
21:19:04,75
21:19:19,75
21:19:34,75
21:19:39,80
21:19:44,79
21:19:49,79
21:19:54,78
21:19:59,75
21:20:04,74
21:20:14,75
21:20:29,75
21:20:34,73
21:20:39,73
21:20:44,71
21:20:49,72
21:20:54,78
21:20:59,77
21:21:14,78
21:21:29,77
21:21:34,75
21:21:39,72
21:21:44,71
21:21:49,72
21:21:54,73
21:22:04,74
21:22:19,72
21:22:24,67
21:22:34,66
21:22:49,66
21:22:54,67
21:23:15,68
21:23:25,78
21:23:30,81
21:23:45,81
21:23:55,82
21:24:05,83
21:24:15,84
21:24:20,83
21:24:35,82
21:24:40,83
21:24:45,84
21:24:50,82
21:25:00,81
21:25:15,81
21:25:20,80
21:25:35,80
21:25:45,79
21:25:50,77
21:25:55,72
21:26:00,70
21:26:05,70
21:26:20,71
21:26:25,74
21:26:40,75
21:26:45,73
21:26:50,77
21:26:55,78
21:27:10,80
21:27:15,82
21:27:20,81
21:27:35,81
21:27:50,82
21:28:00,83
21:28:05,84
21:28:15,83
21:28:20,81
21:28:25,80
21:28:30,79
21:28:35,80
21:28:50,80
21:29:00,79
21:29:10,80
21:29:15,81
21:29:20,80
21:29:25,82
21:29:30,83
21:29:45,83
21:29:50,84
21:30:00,83
21:30:10,85
21:30:25,84
21:30:35,86
21:30:40,87
21:30:45,86
21:31:00,86
21:31:10,87
21:31:15,89
21:31:20,87
21:31:30,86
21:31:40,87
21:31:45,88
21:31:50,87
21:31:55,84
21:32:00,85
21:32:05,84
21:32:10,83
21:32:20,82
21:32:25,83
21:32:30,82
21:32:35,83
21:32:40,84
21:32:45,85
21:32:55,86
21:33:00,87
21:33:05,88
21:33:10,87
21:33:15,88
21:33:20,90
21:33:25,89
21:33:40,89
21:33:45,88
21:33:50,87
21:33:55,88
21:34:00,89
21:34:05,90
21:34:20,89
21:34:35,88
21:34:50,88
21:34:55,87
21:35:10,87
21:35:20,86
21:35:35,85
21:35:40,86
21:35:45,85
21:35:55,84
21:36:10,84
21:36:15,83
21:36:30,83
21:36:35,83
21:36:40,84
21:36:50,85
21:37:00,84
21:37:05,83
21:37:10,83
21:37:15,84
21:37:20,85
21:37:35,84
21:37:40,84
21:37:45,80
21:37:50,81
21:37:55,82
