Time,Heart Rate
20:28:09,81
20:28:14,78
20:28:19,77
20:28:29,78
20:28:44,78
20:28:54,79
20:28:59,78
20:29:09,79
20:29:24,80
20:29:34,81
20:29:39,80
20:29:44,79
20:29:49,79
20:29:59,77
20:30:04,75
20:30:09,74
20:30:19,72
20:30:34,72
20:30:39,70
20:30:49,77
20:30:54,80
20:30:59,79
20:31:14,79
20:31:24,76
20:31:29,72
20:31:34,73
20:31:44,74
20:31:49,75
20:31:54,75
20:32:04,76
20:32:09,77
20:32:14,78
20:32:19,79
20:32:24,80
20:32:29,79
20:32:39,82
20:32:44,80
20:32:49,77
20:32:54,77
20:33:09,77
20:33:24,72
20:33:29,73
20:33:34,75
20:33:44,74
20:33:49,76
20:33:54,79
20:33:59,80
20:34:14,81
20:34:19,80
20:34:24,77
20:34:29,75
20:34:44,76
20:34:49,77
20:34:59,81
20:35:04,82
20:35:09,79
20:35:14,78
20:35:19,79
20:35:24,84
20:35:29,83
20:35:34,82
20:35:50,83
20:35:55,85
20:36:00,86
20:36:05,84
20:36:10,83
20:36:15,82
20:36:25,81
20:36:30,80
20:36:35,81
20:36:40,79
20:36:45,78
20:36:50,80
20:36:55,82
20:37:00,83
20:37:05,82
20:37:10,80
20:37:15,77
20:37:20,76
20:37:35,78
20:37:40,77
20:37:45,78
20:38:00,78
20:38:05,77
20:38:15,77
20:38:30,79
20:38:35,85
20:38:40,89
20:38:45,92
20:38:50,87
20:38:55,85
20:39:00,83
20:39:10,82
20:39:15,82
20:39:20,78
20:39:25,78
20:39:30,77
20:39:45,77
20:40:00,77
20:40:10,78
20:40:15,81
20:40:20,83
20:40:25,83
20:40:30,82
20:40:35,81
20:40:45,78
20:40:50,77
20:41:05,77
20:41:10,76
20:41:20,73
20:41:25,69
20:41:30,71
20:41:35,73
20:41:40,75
20:41:50,77
20:41:55,80
20:42:00,83
20:42:05,84
20:42:10,80
20:42:15,78
20:42:20,77
20:42:25,78
20:42:30,81
20:42:40,79
20:42:45,78
20:42:55,77
20:43:00,77
20:43:15,86
20:43:20,84
20:43:25,82
20:43:30,82
20:43:35,81
20:43:40,82
20:43:45,81
20:44:00,81
20:44:05,80
20:44:10,81
20:44:15,80
20:44:25,83
20:44:30,81
20:44:35,80
20:44:40,80
20:44:55,79
20:45:00,78
20:45:05,77
20:45:10,77
20:45:25,77
20:45:40,77
20:45:50,77
20:46:05,77
20:46:10,76
20:46:15,75
20:46:20,74
20:46:35,78
20:46:40,80
20:46:45,80
20:47:00,81
20:47:05,83
20:47:10,80
20:47:25,80
20:47:30,81
20:47:40,80
20:47:55,80
20:48:00,79
20:48:15,81
20:48:20,82
20:48:25,81
20:48:40,82
20:48:45,82
20:49:00,82
20:49:05,81
20:49:20,79
20:49:25,70
20:49:30,72
20:49:35,73
20:49:40,75
20:49:45,78
20:49:50,83
20:49:55,84
20:50:10,84
20:50:15,84
20:50:20,82
20:50:25,79
20:50:30,76
20:50:35,75
20:50:40,74
20:50:45,76
20:50:50,76
20:50:55,78
20:51:00,79
20:51:05,79
20:51:10,79
20:51:20,81
20:51:25,83
20:51:30,84
20:51:40,82
20:51:45,82
20:51:50,81
20:51:55,79
20:52:00,83
20:52:05,85
20:52:10,84
20:52:20,81
20:52:25,80
20:52:30,78
20:52:35,77
20:52:40,78
20:52:45,79
20:52:51,82
20:52:56,83
20:53:01,81
20:53:06,80
20:53:11,78
20:53:16,76
20:53:26,77
20:53:31,78
20:53:36,83
20:53:41,88
20:53:46,82
20:53:51,76
20:53:56,78
20:54:01,79
20:54:11,80
20:54:26,80
20:54:31,81
20:54:36,82
20:54:44,82
20:54:59,82
20:55:04,83
20:55:19,83
20:55:43,83
20:55:58,83
20:56:03,83
20:56:18,83
20:56:33,84
20:56:38,86
20:56:43,87
20:56:58,86
